object_id,canonical_name,main_category,subcategory,district,address,phone,website,rating,reviews,canonical_lat,canonical_lng,google_lat,google_lng,yandex_lat,yandex_lng,dgis_lat,dgis_lng,osm_lat,osm_lng,google_place_id,yandex_object_id,dgis_object_id,osm_id,primary_source,source_url,source_count,coordinate_accuracy,data_confidence,operating_status,verification_status,geometry_type,admin_comment,data_collected_at
SEED002635,,pharmacy,,,,,,,,41.3973,69.1182,,,,,,,41.3973,69.1182,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002636,,pharmacy,,,,,,,,41.3699,69.3122,,,,,,,41.3699,69.3122,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002637,,pharmacy,,,,,,,,41.3711,69.3103,,,,,,,41.3711,69.3103,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002638,,pharmacy,,,,,,,,41.2975,69.1935,,,,,,,41.2975,69.1935,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002639,,pharmacy,,,,,,,,41.3624,69.2856,,,,,,,41.3624,69.2856,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002640,,pharmacy,,,,,,,,41.3193,69.2962,,,,,,,41.3193,69.2962,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002641,,pharmacy,,,,,,,,41.3147,69.1869,,,,,,,41.3147,69.1869,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002642,,pharmacy,,,,,,,,41.2757,69.202,,,,,,,41.2757,69.202,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002643,,pharmacy,,,,,,,,41.2978,69.1909,,,,,,,41.2978,69.1909,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002644,,pharmacy,,,,,,,,41.2673,69.1898,,,,,,,41.2673,69.1898,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002645,,pharmacy,,,,,,,,41.2814,69.1704,,,,,,,41.2814,69.1704,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002646,,pharmacy,,,,,,,,41.349,69.3496,,,,,,,41.349,69.3496,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002647,,pharmacy,,,,,,,,41.3513,69.2494,,,,,,,41.3513,69.2494,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002648,,pharmacy,,,,,,,,41.2454,69.3096,,,,,,,41.2454,69.3096,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002649,,pharmacy,,,,,,,,41.3579,69.3074,,,,,,,41.3579,69.3074,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002650,,pharmacy,,,,,,,,41.2781,69.1969,,,,,,,41.2781,69.1969,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002651,,pharmacy,,,,,,,,41.3265,69.2827,,,,,,,41.3265,69.2827,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002652,,pharmacy,,,,,,,,41.3744,69.3046,,,,,,,41.3744,69.3046,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002653,,pharmacy,,,,,,,,41.3746,69.3038,,,,,,,41.3746,69.3038,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002654,,pharmacy,,,,,,,,41.3464,69.3414,,,,,,,41.3464,69.3414,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002655,,pharmacy,,,,,,,,41.3459,69.3423,,,,,,,41.3459,69.3423,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002656,,pharmacy,,,,,,,,41.3653,69.2936,,,,,,,41.3653,69.2936,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002657,,pharmacy,,,,,,,,41.3697,69.293,,,,,,,41.3697,69.293,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002658,,pharmacy,,,,,,,,41.3017,69.3053,,,,,,,41.3017,69.3053,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002659,,pharmacy,,,,,,,,41.2855,69.3458,,,,,,,41.2855,69.3458,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002660,,pharmacy,,,,,,,,41.2855,69.3458,,,,,,,41.2855,69.3458,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002661,,pharmacy,,,,,,,,41.2856,69.3461,,,,,,,41.2856,69.3461,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002662,,pharmacy,,,,,,,,41.2861,69.3458,,,,,,,41.2861,69.3458,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002663,,pharmacy,,,,,,,,41.3657,69.286,,,,,,,41.3657,69.286,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002664,,pharmacy,,,,,,,,41.2897,69.194,,,,,,,41.2897,69.194,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002665,,pharmacy,,,,,,,,41.334,69.2661,,,,,,,41.334,69.2661,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002666,,pharmacy,,,,,,,,41.3466,69.3471,,,,,,,41.3466,69.3471,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002667,,pharmacy,,,,,,,,41.2724,69.2787,,,,,,,41.2724,69.2787,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002668,,pharmacy,,,,,,,,41.2723,69.2788,,,,,,,41.2723,69.2788,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
SEED002669,,pharmacy,,,,,,,,41.2718,69.2795,,,,,,,41.2718,69.2795,,,,,OSM,,1,single,C,,auto_unverified,point,"координаты без названия — уточнить","2026-07-19 00:15:46"
