grid_id,latitude,longitude,population_value,source,reference_date,verification_status
POP-00139,41.21901,70.55551,24,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00140,41.19344,70.60955,24,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00141,41.18231,70.5813,108,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00142,41.22715,70.62713,135,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00143,41.21029,70.61834,60,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00144,41.22007,70.63467,40,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00145,41.20623,70.58254,21,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00146,41.27332,70.68497,76,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00147,41.24535,70.64786,208,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00148,41.23422,70.61958,88,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00149,41.275,70.62963,180,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00150,40.84424,70.67403,814,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00151,40.83718,70.68152,371,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00152,40.98058,70.68913,28,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00153,40.99512,68.60328,82,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00154,40.95735,68.61831,33,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00155,40.95042,68.62604,21,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00156,40.96584,68.6224,39,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00157,41.02222,68.74937,181,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00158,41.05307,68.74214,34,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00159,41.0361,68.73391,38,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00160,40.91192,68.69603,175,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00161,40.9204,68.70012,344,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00162,40.90653,68.71556,853,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00163,40.90499,68.70374,223,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00164,40.91501,68.71966,509,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00165,40.91347,68.70784,1329,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00166,40.9474,68.72424,155,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00167,40.95743,68.74017,1569,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00168,40.95589,68.72834,927,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00169,40.94201,68.74378,1099,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00170,40.94046,68.73196,197,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00171,40.95049,68.74789,904,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00172,40.94895,68.73606,1319,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00173,40.93582,68.6965,26,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00174,40.94586,68.71242,98,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00175,40.94431,68.7006,48,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00176,40.93892,68.72014,694,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00177,40.93737,68.70832,823,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00178,40.91116,68.751,84,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00179,40.92119,68.76693,1017,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00180,40.91964,68.75511,405,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00181,40.90422,68.75872,64,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00182,40.9127,68.76282,189,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00183,40.89959,68.72327,25,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00184,40.90962,68.73919,23,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00185,40.90808,68.72737,312,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00186,40.90114,68.73509,20,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00187,40.93507,68.7515,2056,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00188,40.94509,68.76743,1585,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00189,40.94355,68.7556,2002,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00190,40.92967,68.77103,973,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00191,40.92813,68.75921,1774,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00192,40.93815,68.77514,1520,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00193,40.93661,68.76332,1701,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00194,40.9235,68.72376,33,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00195,40.93352,68.73968,400,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00196,40.9181,68.74329,1197,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00197,40.91656,68.73147,54,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00198,40.92658,68.74739,567,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00199,40.92504,68.73557,28,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00200,40.90261,68.62515,61,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00201,40.93656,68.6415,51,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00202,40.93118,68.66104,260,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00203,40.93966,68.66514,47,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00204,40.91959,68.63332,116,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00205,40.91803,68.62151,55,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00206,40.92652,68.6256,100,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00207,40.91037,68.68421,295,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00208,40.89495,68.68784,204,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00209,40.89341,68.67603,161,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00210,40.90344,68.69193,671,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00211,40.90189,68.68012,272,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00212,40.89724,68.64469,45,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00213,40.88337,68.66013,159,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00214,40.88182,68.64832,76,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00215,40.89186,68.66422,164,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00216,40.92424,68.66877,105,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00217,40.91886,68.68831,81,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00218,40.91731,68.67649,142,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00219,40.92734,68.6924,268,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00220,40.92579,68.68059,86,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00221,40.91265,68.64105,360,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00222,40.92269,68.65695,594,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00223,40.92114,68.64514,1087,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00224,40.90727,68.66059,64,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00225,40.91576,68.66468,192,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00226,40.91421,68.65286,747,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00227,40.97131,68.72473,613,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00228,40.98134,68.74066,25,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00229,40.96591,68.74427,352,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00230,40.96437,68.73245,754,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00231,40.97285,68.73655,61,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00232,41.01682,68.76894,121,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00233,41.01527,68.7571,76,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-00234,41.00139,68.77255,152,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
