grid_id,latitude,longitude,population_value,source,reference_date,verification_status
POP-01368,41.32125,69.28574,1770,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01369,41.33122,69.30187,1982,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01370,41.32973,69.28995,1950,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01371,41.31576,69.30536,1648,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01372,41.31427,69.29345,1263,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01373,41.32423,69.30958,1479,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01374,41.32274,69.29766,1676,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01375,41.35665,69.31452,1116,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01376,41.36661,69.33066,1722,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01377,41.36512,69.31873,1691,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01378,41.35115,69.33415,1423,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01379,41.34966,69.32222,1555,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01380,41.35962,69.33837,1612,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01381,41.35813,69.32644,1403,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01382,41.34519,69.28645,1463,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01383,41.35516,69.30259,1535,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01384,41.35367,69.29067,2035,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01385,41.3397,69.30608,1231,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01386,41.33821,69.29416,2124,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01387,41.34817,69.3103,709,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01388,41.34668,69.29838,1706,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01389,41.32022,69.34111,2228,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01390,41.33018,69.35725,1861,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01391,41.3287,69.34533,1881,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01392,41.31472,69.36073,1367,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01393,41.31323,69.34881,1588,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01394,41.32319,69.36495,1205,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01395,41.32171,69.35303,1803,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01396,41.30877,69.31306,1020,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01397,41.31874,69.3292,2299,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01398,41.31725,69.31728,1737,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01399,41.30327,69.33268,1321,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01400,41.30179,69.32077,1289,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01401,41.31175,69.3369,1782,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01402,41.31026,69.32498,1659,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01403,41.34416,69.34185,1276,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01404,41.35412,69.358,1456,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01405,41.35263,69.34607,1595,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01406,41.33865,69.36147,1861,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01407,41.33717,69.34955,1486,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01408,41.34713,69.3657,1856,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01409,41.34564,69.35377,1562,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01410,41.33271,69.31379,1468,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01411,41.34267,69.32993,1815,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01412,41.34118,69.31801,889,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01413,41.32721,69.33341,1719,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01414,41.32572,69.32149,1524,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01415,41.33568,69.33763,1264,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01416,41.3342,69.32571,1780,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01417,41.31079,69.20234,2116,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01418,41.32076,69.21845,2155,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01419,41.31926,69.20654,2552,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01420,41.30531,69.22197,1962,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01421,41.30381,69.21006,1831,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01422,41.31378,69.22617,2147,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01423,41.31228,69.21425,1833,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01424,41.3462,69.23106,2116,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01425,41.35617,69.24719,2193,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01426,41.35467,69.23526,2035,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01427,41.34071,69.25069,2079,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01428,41.33921,69.23877,2137,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01429,41.34919,69.2549,1949,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01430,41.34769,69.24298,2003,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01431,41.33472,69.20302,2033,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01432,41.3447,69.21914,2109,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01433,41.3432,69.20722,1787,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01434,41.32924,69.22265,1935,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01435,41.32774,69.21074,2243,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01436,41.33772,69.22686,2109,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01437,41.33622,69.21494,2099,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01438,41.30979,69.2577,1119,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01439,41.31976,69.27382,1240,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01440,41.31827,69.26191,1454,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01441,41.3043,69.27732,1666,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01442,41.30281,69.26541,1577,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01443,41.31278,69.28153,1220,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01444,41.31129,69.26962,1117,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01445,41.29833,69.22968,1777,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01446,41.3083,69.24579,1469,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01447,41.3068,69.23388,1883,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01448,41.29284,69.2493,1849,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01449,41.29135,69.23739,1909,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01450,41.30132,69.2535,1711,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01451,41.29982,69.24159,866,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01452,41.33373,69.25841,1747,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01453,41.3437,69.27453,1965,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01454,41.3422,69.26261,1871,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01455,41.32824,69.27803,1600,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01456,41.32675,69.26612,1516,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01457,41.33671,69.28224,1426,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01458,41.33522,69.27032,1699,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01459,41.32226,69.23037,1577,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01460,41.33223,69.24649,1646,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01461,41.33074,69.23457,2106,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01462,41.31677,69.24999,1089,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01463,41.31528,69.23808,1724,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01464,41.32525,69.2542,1721,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01465,41.32376,69.24228,1699,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01466,41.38058,69.31524,2021,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01467,41.39055,69.33139,1202,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01468,41.38906,69.31946,1694,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01469,41.37508,69.33488,1213,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01470,41.3736,69.32295,1582,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01471,41.38356,69.3391,942,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01472,41.38207,69.32717,1722,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01473,41.41598,69.34406,405,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01474,41.42594,69.36023,1311,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01475,41.42445,69.34829,1489,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01476,41.41047,69.36371,154,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01477,41.40899,69.35177,411,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01478,41.41895,69.36794,757,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01479,41.41746,69.356,974,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01480,41.40452,69.31597,2254,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
POP-01481,41.41449,69.33213,1053,Bundled population grid,2026-07,Методологический слой; проверить источник/единицу измерения
