issue_id,issue_type,duplicate_group_id,object_id_1,object_id_2,distance_m,details,status
QI-44b7a9308d8d,Неполная карточка бизнес-центра,,BC-bf4bedc10d91,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-f477c4e95af2,Неполная карточка бизнес-центра,,BC-ffefb05a70db,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-b928a42c16ad,Неполная карточка бизнес-центра,,BC-b9df42c720f5,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-a740a2c1b309,Неполная карточка бизнес-центра,,BC-552240c0d802,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-077fa70c6074,Неполная карточка бизнес-центра,,BC-c915e6fc798a,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-0e63e34be27f,Неполная карточка бизнес-центра,,BC-6722c331ece2,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-86b713b6f972,Неполная карточка бизнес-центра,,BC-77f09d2bf07e,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-4dda7a8b4362,Неполная карточка бизнес-центра,,BC-c006dac8a39a,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-0feec29dc0de,Неполная карточка бизнес-центра,,BC-f859a28a32d9,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-3b28bde3ef49,Неполная карточка бизнес-центра,,BC-fc061fef3995,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-757f53fb1c21,Неполная карточка бизнес-центра,,BC-cf94f511c8e4,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-7dbeda876f5b,Неполная карточка бизнес-центра,,BC-c7f0c07560b9,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-88e99dfd2d4d,Неполная карточка бизнес-центра,,BC-9dfae0fe4e96,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-c676302ed4bf,Неполная карточка бизнес-центра,,BC-7225351dceb8,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-dfb2b28e664d,Неполная карточка бизнес-центра,,BC-48ae0f6cdf1d,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-f2efdc587aa2,Неполная карточка бизнес-центра,,BC-8eedc895d6d6,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-c31812f87fe2,Неполная карточка бизнес-центра,,BC-89ed28550f97,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-c4d14b881170,Неполная карточка бизнес-центра,,BC-1a1fc76e6650,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-8545cda4d640,Неполная карточка бизнес-центра,,BC-abea3a677c19,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-f7e6bfc159a7,Неполная карточка бизнес-центра,,BC-ab641c887f5e,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-b1d57e2f3bbf,Неполная карточка бизнес-центра,,BC-41030ad8d886,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-270d8e8897ed,Неполная карточка бизнес-центра,,BC-219a613b2454,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-520225551d84,Неполная карточка бизнес-центра,,BC-fd060a57dc60,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-47325adbe615,Неполная карточка бизнес-центра,,BC-bec82c0b8b79,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-91b034f00833,Неполная карточка бизнес-центра,,BC-dabd4e003aee,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-766d8b0b00a9,Неполная карточка бизнес-центра,,BC-87e51df7b02d,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-99019d470980,Неполная карточка бизнес-центра,,BC-327420d8b627,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-7a8e90e68008,Неполная карточка бизнес-центра,,BC-08015e00cade,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-0fc79a1813e1,Неполная карточка бизнес-центра,,BC-befb6b780311,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-0f618e430bec,Неполная карточка бизнес-центра,,BC-54942b565540,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-6abbe0b13018,Неполная карточка бизнес-центра,,BC-69bbf458dcbe,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-d5c2ac226acc,Неполная карточка бизнес-центра,,BC-003709a361b9,,,"class, rent_usd_sqm_month, address, website",Открыто
QI-3690bcacba77,Без названия и адреса,,PHARM-dbb6bfb99099,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-e11fecb10aef,Без названия и адреса,,PHARM-62fe5c748d09,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-ee26864e85bc,Без названия и адреса,,PHARM-eb5f41ed107b,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-d4f620fccfd5,Без названия и адреса,,PHARM-4691830a3427,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-6a7cbd7638e1,Без названия и адреса,,PHARM-b7ab99972c80,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-2221e744b705,Без названия и адреса,,PHARM-be60b6ac9f7b,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-3df5c9353523,Без названия и адреса,,PHARM-229fcd6df18a,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-41a07f17ed01,Без названия и адреса,,PHARM-0cfd842ed751,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-b572f7a60114,Без названия и адреса,,PHARM-34e35564393f,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-9c69ec50883c,Без названия и адреса,,PHARM-88cfb5a80cf3,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-4f9a50a200b2,Без названия и адреса,,PHARM-d9839ae5c982,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-719a9ce5e9ae,Без названия и адреса,,PHARM-1414b00c94c0,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-fde16c728c3d,Без названия и адреса,,PHARM-c8e57c9103a8,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-a4181eab5659,Без названия и адреса,,PHARM-ff11d93ef0e3,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-7d7284a2a222,Без названия и адреса,,PHARM-befde9ea7b35,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
QI-2c3126ebe3cd,Без названия и адреса,,PHARM-540249eb8551,,,Идентифицировать аптеку по карте/полевой проверке,Открыто
